Time;Channel A
(ms);(mV)

0,54121404;-197,80570000
0,54185404;-197,80570000
0,54249404;-197,80570000
0,54313404;-197,80570000
0,54377404;-197,80570000
0,54441404;-197,80570000
0,54505404;-197,80570000
0,54569404;-197,80570000
0,54633404;-197,80570000
0,54697404;-197,80570000
0,54761404;-197,80570000
0,54825404;-197,80570000
0,54889404;-197,80570000
0,54953404;-197,80570000
0,55017404;-197,80570000
0,55081404;-197,80570000
0,55145404;-197,80570000
0,55209404;-197,80570000
0,55273404;-202,20040000
0,55337404;-197,80570000
0,55401404;-197,80570000
0,55465404;-197,80570000
0,55529404;-197,80570000
0,55593404;-197,80570000
0,55657404;-197,80570000
0,55721404;-197,80570000
0,55785404;-197,80570000
0,55849404;-197,80570000
0,55913404;-197,80570000
0,55977404;-197,80570000
0,56041404;-197,80570000
0,56105404;-197,80570000
0,56169404;-197,80570000
0,56233404;-197,80570000
0,56297404;-197,80570000
0,56361404;-202,20040000
0,56425404;-197,80570000
0,56489404;-197,80570000
0,56553404;-197,80570000
0,56617404;-197,80570000
0,56681404;-197,80570000
0,56745404;-197,80570000
0,56809404;-197,80570000
0,56873404;-197,80570000
0,56937404;-197,80570000
0,57001404;-197,80570000
0,57065404;-197,80570000
0,57129404;-197,80570000
0,57193404;-197,80570000
0,57257404;-197,80570000
0,57321404;-197,80570000
0,57385404;-197,80570000
0,57449404;-197,80570000
0,57513404;-197,80570000
0,57577404;-197,80570000
0,57641404;-202,20040000
0,57705404;-197,80570000
0,57769404;-197,80570000
0,57833404;-197,80570000
0,57897404;-197,80570000
0,57961404;-197,80570000
0,58025404;-202,20040000
0,58089404;-197,80570000
0,58153404;-197,80570000
0,58217404;-197,80570000
0,58281404;-197,80570000
0,58345404;-197,80570000
0,58409404;-197,80570000
0,58473404;-197,80570000
0,58537404;-202,20040000
0,58601404;-197,80570000
0,58665404;-202,20040000
0,58729404;-202,20040000
0,58793404;-197,80570000
0,58857404;-197,80570000
0,58921404;-197,80570000
0,58985404;-197,80570000
0,59049404;-197,80570000
0,59113404;-197,80570000
0,59177404;-197,80570000
0,59241404;-197,80570000
0,59305404;-197,80570000
0,59369404;-197,80570000
0,59433404;-197,80570000
0,59497404;-197,80570000
0,59561404;-197,80570000
0,59625404;-197,80570000
0,59689404;-197,80570000
0,59753404;-197,80570000
0,59817404;-197,80570000
0,59881404;-197,80570000
0,59945404;-197,80570000
0,60009404;-197,80570000
0,60073404;-197,80570000
